APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,subtype
141699,Auto:Buyers:Make:Acura:MDX,exelate,0.5,null,null,null
141700,Auto:Buyers:Make:Acura:TL,exelate,0.5,null,null,null
141701,Auto:Buyers:Make:Acura:TSX,exelate,1,null,null,null
141702,Auto:Buyers:Make:Audi:A4,exelate,1,null,null,null
141703,Auto:Buyers:Make:BMW:3 Series,exelate,1,null,null,null
141704,Auto:Buyers:Make:BMW:M3,exelate,1,null,null,null
141705,Auto:Buyers:Make:BMW:M5,exelate,1,null,null,null
141706,Auto:Buyers:Make:BMW:M6,exelate,1,null,null,null
141707,Auto:Buyers:Make:Buick:Enclave,exelate,1,null,null,null
141708,Auto:Buyers:Make:Buick:Regal,exelate,1,null,null,null
141709,Auto:Buyers:Make:Buick:Terraza,exelate,1,null,null,null
141710,Auto:Buyers:Make:Cadillac:CTS,exelate,1,null,null,null
141711,Auto:Buyers:Make:Cadillac:Escalade,exelate,1,null,null,null
141712,Auto:Buyers:Make:Chevrolet:Camaro,exelate,1,null,null,null
141713,Auto:Buyers:Make:Chevrolet:Colorado,exelate,1,null,null,null
141714,Auto:Buyers:Make:Chevrolet:Equinox,exelate,1,null,null,null
141715,Auto:Buyers:Make:Chevrolet:Express,exelate,1,null,null,null
141716,Auto:Buyers:Make:Chevrolet:HHR,exelate,1,null,null,null
141717,Auto:Buyers:Make:Chevrolet:Impala,exelate,1,null,null,null
141718,Auto:Buyers:Make:Chevrolet:Monte Carlo,exelate,1,null,null,null
141719,Auto:Buyers:Make:Chevrolet:Silverado,exelate,1,null,null,null
141720,Auto:Buyers:Make:Chevrolet:Tahoe,exelate,1,null,null,null
141721,Auto:Buyers:Make:Chevrolet:Trailblazer,exelate,1,null,null,null
141722,Auto:Buyers:Make:Chevrolet:Uplander,exelate,1,null,null,null
141723,Auto:Buyers ~ Make:Chrysler:300,exelate,1,null,null,null
141724,Auto:Buyers:Make:Chrysler:Aspen,exelate,1,null,null,null
141725,Auto:Buyers ~ Make:Chrysler:Avenger,exelate,1,null,null,null
141726,Auto:Buyers:Make:Chrysler:Crossfire,exelate,1,null,null,null
141727,Auto:Buyers:Make:Chrysler:Pacifica,exelate,1,null,null,null
141728,Auto:Buyers:Make:Chrysler:PT Cruiser,exelate,1,null,null,null
141729,Auto:Buyers:Make:Chrysler:Sebring,exelate,1,null,null,null
